net,length_um
net59,400.72µm
net60,399.8µm
net62,397.76µm
net56,395.5µm
de.rd2_e\[0\],395.38µm
net58,394.12µm
de.rd2_e\[9\],392.6µm
clknet_2_1_0_clk_regs,391.3µm
decode_stage.rf.rf1rd1\[11\],389.77µm
_04826_,389.56µm
net65,389.19µm
_04853_,388.81µm
_07469_,388.62µm
net64,387.14µm
mw.pc_plus4_w\[18\],386.63µm
clknet_0_clk_regs,385.68µm
_07493_,385.34µm
net41,385.14µm
net54,384.84µm
fd.tid_f\[0\],383.375µm
_07467_,383.28µm
net226,382.28µm
net36,382.14µm
de.rd2_e\[10\],381.46µm
_07486_,380.9µm
_05260_,380.195µm
net55,379.74µm
_07480_,379.58µm
_07472_,378.95µm
clknet_2_0_0_clk_regs,377.63µm
net66,377.13µm
_06560_,376.565µm
decode_stage.rf.rf1rd2\[28\],375.49µm
mw.pc_plus4_w\[15\],374.68µm
net28,374µm
net50,373.64µm
net63,370.41µm
net53,369.94µm
_07275_,369.44µm
net49,369.39µm
net72,369.325µm
mw.pc_plus4_w\[13\],368.84µm
net48,368.76µm
net37,367.35µm
decode_stage.rf.rf1rd1\[8\],367.09µm
decode_stage.rf.rf1rd1\[5\],366.15µm
mw.pc_plus4_w\[17\],365.975µm
_07463_,365.18µm
_05869_,364.88µm
net191,364.44µm
net51,362.4µm
_06357_,362.385µm
_07479_,360.96µm
mw.pc_plus4_w\[12\],360.61µm
net180,359.965µm
net30,359.8µm
net77,359.32µm
_06619_,358.06µm
decode_stage.rf.rf1rd2\[23\],357.87µm
mw.pc_plus4_w\[24\],357.82µm
net4,357.48µm
net70,356.415µm
mw.pc_plus4_w\[27\],355.86µm
decode_stage.rf.rf1rd2\[26\],355.53µm
decode_stage.rf.rf1rd1\[23\],355.47µm
net29,353.6µm
net52,352.96µm
net215,352.275µm
decode_stage.rf.rf1rd2\[27\],352.15µm
mw.pc_plus4_w\[21\],351.56µm
decode_stage.rf.rf1rd1\[3\],351.51µm
net47,351.35µm
net42,351.3µm
net150,350.11µm
_05870_,349.985µm
decode_stage.rf.rf1rd2\[30\],349.89µm
net46,349.33µm
net165,348.065µm
_05597_,347.99µm
decode_stage.rf.rf1rd2\[19\],347.83µm
net3,347.74µm
decode_stage.rf.rf1rd2\[0\],347.65µm
net123,346.77µm
decode_stage.rf.rf2rd1\[15\],346.39µm
net161,346.32µm
mw.pc_plus4_w\[16\],346.15µm
