net,length_um
_00867_,14.465µm
memory_stage.dm.ram\[29\]\[26\],14.465µm
_03510_,14.46µm
_03730_,14.46µm
_06086_,14.46µm
_07460_,14.46µm
memory_stage.dm.ram\[15\]\[22\],14.46µm
memory_stage.dm.ram\[18\]\[31\],14.46µm
memory_stage.dm.ram\[61\]\[24\],14.46µm
memory_stage.dm.ram\[23\]\[25\],14.455µm
memory_stage.dm.ram\[18\]\[19\],14.44µm
_01002_,14.425µm
memory_stage.dm.ram\[41\]\[10\],14.425µm
_01398_,14.42µm
_03399_,14.42µm
_03442_,14.42µm
_03480_,14.42µm
_03612_,14.42µm
_03789_,14.42µm
_03818_,14.42µm
_04518_,14.42µm
_06165_,14.42µm
_07166_,14.42µm
memory_stage.dm.ram\[31\]\[9\],14.42µm
memory_stage.dm.ram\[36\]\[6\],14.42µm
memory_stage.dm.ram\[36\]\[9\],14.42µm
memory_stage.dm.ram\[53\]\[0\],14.42µm
memory_stage.dm.ram\[63\]\[7\],14.42µm
_03743_,14.4µm
_04513_,14.4µm
memory_stage.dm.ram\[11\]\[3\],14.4µm
_01956_,14.385µm
memory_stage.dm.ram\[45\]\[12\],14.385µm
_04227_,14.38µm
memory_stage.dm.ram\[3\]\[11\],14.38µm
memory_stage.dm.ram\[40\]\[14\],14.38µm
memory_stage.dm.ram\[58\]\[10\],14.38µm
de.imm_val_e\[18\],14.36µm
memory_stage.dm.ram\[11\]\[1\],14.36µm
memory_stage.dm.ram\[24\]\[20\],14.36µm
memory_stage.dm.ram\[36\]\[18\],14.36µm
memory_stage.dm.ram\[44\]\[13\],14.36µm
_03711_,14.34µm
_03844_,14.34µm
_04000_,14.34µm
_06237_,14.34µm
memory_stage.dm.ram\[23\]\[26\],14.34µm
memory_stage.dm.ram\[40\]\[22\],14.34µm
_03707_,14.335µm
memory_stage.dm.ram\[33\]\[20\],14.33µm
_04411_,14.32µm
_05419_,14.32µm
memory_stage.dm.ram\[23\]\[14\],14.32µm
_06663_,14.305µm
_03087_,14.3µm
_03761_,14.3µm
_04296_,14.3µm
_05101_,14.3µm
_06061_,14.3µm
memory_stage.dm.ram\[20\]\[15\],14.3µm
memory_stage.dm.ram\[35\]\[27\],14.3µm
memory_stage.dm.ram\[46\]\[5\],14.3µm
memory_stage.dm.ram\[47\]\[25\],14.3µm
_05404_,14.28µm
memory_stage.dm.ram\[19\]\[24\],14.28µm
memory_stage.dm.ram\[34\]\[6\],14.28µm
memory_stage.dm.ram\[38\]\[26\],14.28µm
memory_stage.dm.ram\[61\]\[25\],14.28µm
_00863_,14.265µm
_03263_,14.26µm
_04584_,14.26µm
_05358_,14.26µm
memory_stage.dm.ram\[19\]\[14\],14.26µm
memory_stage.dm.ram\[34\]\[19\],14.255µm
memory_stage.dm.ram\[5\]\[3\],14.245µm
_03562_,14.24µm
fetch_stage.thread_pc.t_pc\[1\]\[26\],14.24µm
memory_stage.dm.ram\[34\]\[0\],14.24µm
memory_stage.dm.ram\[63\]\[31\],14.235µm
memory_stage.dm.ram\[45\]\[0\],14.225µm
_04464_,14.22µm
_05600_,14.22µm
_05741_,14.22µm
memory_stage.dm.ram\[23\]\[0\],14.22µm
memory_stage.dm.ram\[24\]\[15\],14.22µm
memory_stage.dm.ram\[28\]\[11\],14.22µm
memory_stage.dm.ram\[59\]\[6\],14.22µm
_02085_,14.205µm
memory_stage.dm.ram\[37\]\[1\],14.205µm
_03550_,14.2µm
_05518_,14.2µm
memory_stage.dm.ram\[10\]\[9\],14.2µm
memory_stage.dm.ram\[22\]\[18\],14.2µm
memory_stage.dm.ram\[30\]\[29\],14.2µm
memory_stage.dm.ram\[41\]\[26\],14.2µm
_06737_,14.19µm
_02662_,14.185µm
memory_stage.dm.ram\[62\]\[6\],14.185µm
_03153_,14.18µm
_03638_,14.18µm
_04218_,14.18µm
memory_stage.dm.ram\[2\]\[3\],14.18µm
memory_stage.dm.ram\[48\]\[29\],14.18µm
memory_stage.dm.ram\[51\]\[0\],14.18µm
memory_stage.dm.ram\[62\]\[15\],14.18µm
_01720_,14.165µm
_06092_,14.16µm
memory_stage.dm.ram\[4\]\[11\],14.16µm
_04645_,14.155µm
_01880_,14.145µm
_02970_,14.14µm
_03017_,14.14µm
memory_stage.dm.ram\[43\]\[14\],14.14µm
_01346_,14.12µm
_05550_,14.12µm
memory_stage.dm.ram\[30\]\[23\],14.12µm
memory_stage.dm.ram\[38\]\[30\],14.12µm
memory_stage.dm.ram\[42\]\[19\],14.12µm
memory_stage.dm.ram\[18\]\[22\],14.105µm
memory_stage.dm.ram\[29\]\[11\],14.105µm
memory_stage.dm.ram\[41\]\[7\],14.105µm
_02893_,14.1µm
_04187_,14.1µm
memory_stage.dm.ram\[45\]\[5\],14.1µm
memory_stage.dm.ram\[57\]\[31\],14.1µm
_00707_,14.095µm
_03747_,14.08µm
_06665_,14.08µm
memory_stage.dm.ram\[35\]\[6\],14.08µm
memory_stage.dm.ram\[38\]\[19\],14.08µm
_02143_,14.065µm
memory_stage.dm.ram\[61\]\[2\],14.065µm
_04190_,14.06µm
_05545_,14.06µm
memory_stage.dm.ram\[41\]\[27\],14.06µm
memory_stage.dm.ram\[49\]\[4\],14.06µm
memory_stage.dm.ram\[62\]\[12\],14.06µm
_01894_,14.045µm
memory_stage.dm.ram\[46\]\[22\],14.045µm
memory_stage.dm.ram\[7\]\[6\],14.045µm
_03044_,14.04µm
_03457_,14.04µm
_04670_,14.04µm
memory_stage.dm.ram\[29\]\[21\],14.04µm
memory_stage.dm.ram\[39\]\[25\],14.04µm
memory_stage.dm.ram\[47\]\[31\],14.04µm
memory_stage.dm.ram\[6\]\[10\],14.04µm
memory_stage.dm.ram\[38\]\[29\],14.025µm
_03742_,14.02µm
memory_stage.dm.ram\[32\]\[8\],14.02µm
memory_stage.dm.ram\[8\]\[30\],14.02µm
_00718_,14.005µm
memory_stage.dm.ram\[25\]\[7\],14.005µm
_07360_,14µm
memory_stage.dm.ram\[11\]\[13\],14µm
_02595_,13.985µm
_05315_,13.985µm
_05190_,13.98µm
_06710_,13.98µm
_07056_,13.98µm
memory_stage.dm.ram\[15\]\[1\],13.98µm
memory_stage.dm.ram\[55\]\[5\],13.98µm
_02841_,13.96µm
_03196_,13.96µm
_03481_,13.96µm
_04338_,13.96µm
_05236_,13.96µm
_07124_,13.96µm
de.pc_d\[31\],13.96µm
memory_stage.dm.ram\[11\]\[29\],13.96µm
memory_stage.dm.ram\[30\]\[17\],13.96µm
memory_stage.dm.ram\[45\]\[23\],13.96µm
memory_stage.dm.ram\[59\]\[10\],13.96µm
memory_stage.dm.ram\[9\]\[27\],13.96µm
memory_stage.dm.ram\[31\]\[8\],13.955µm
memory_stage.dm.ram\[48\]\[7\],13.955µm
_04023_,13.94µm
_05824_,13.94µm
_01886_,13.925µm
_06324_,13.925µm
_03041_,13.92µm
_04367_,13.92µm
memory_stage.dm.ram\[48\]\[13\],13.92µm
memory_stage.dm.ram\[17\]\[26\],13.91µm
_03004_,13.9µm
_03366_,13.9µm
_04117_,13.9µm
_04348_,13.9µm
_03273_,13.88µm
_03423_,13.88µm
_03604_,13.88µm
_03993_,13.88µm
_04265_,13.88µm
_05688_,13.88µm
_05898_,13.88µm
_07211_,13.88µm
memory_stage.dm.ram\[35\]\[20\],13.88µm
memory_stage.dm.ram\[38\]\[17\],13.88µm
memory_stage.dm.ram\[39\]\[7\],13.88µm
_00037_,13.865µm
_03650_,13.86µm
_06544_,13.86µm
memory_stage.dm.ram\[53\]\[30\],13.855µm
_07145_,13.85µm
_03145_,13.84µm
_03409_,13.84µm
_05186_,13.84µm
_06253_,13.84µm
_06316_,13.84µm
memory_stage.dm.ram\[32\]\[21\],13.835µm
memory_stage.dm.ram\[38\]\[6\],13.82µm
memory_stage.dm.ram\[55\]\[15\],13.82µm
memory_stage.dm.ram\[60\]\[9\],13.82µm
_07273_,13.815µm
_00222_,13.805µm
_04286_,13.8µm
_05787_,13.8µm
_07383_,13.8µm
em.result_src_m\[1\],13.8µm
memory_stage.dm.ram\[57\]\[24\],13.8µm
memory_stage.dm.ram\[9\]\[4\],13.8µm
memory_stage.dm.ram\[53\]\[21\],13.795µm
_05881_,13.79µm
_05091_,13.78µm
_07401_,13.78µm
memory_stage.dm.ram\[22\]\[10\],13.775µm
_03210_,13.76µm
memory_stage.dm.ram\[16\]\[20\],13.76µm
memory_stage.dm.ram\[17\]\[12\],13.76µm
_00543_,13.745µm
_03545_,13.74µm
_03690_,13.74µm
_03947_,13.74µm
_05819_,13.74µm
memory_stage.dm.ram\[19\]\[0\],13.74µm
memory_stage.dm.ram\[44\]\[19\],13.74µm
_00326_,13.725µm
_01811_,13.725µm
_04625_,13.72µm
_04823_,13.72µm
_05439_,13.72µm
_05760_,13.72µm
memory_stage.dm.ram\[19\]\[23\],13.72µm
memory_stage.dm.ram\[27\]\[23\],13.72µm
memory_stage.dm.ram\[33\]\[14\],13.72µm
memory_stage.dm.ram\[42\]\[1\],13.72µm
_00741_,13.715µm
memory_stage.dm.ram\[49\]\[18\],13.715µm
_01747_,13.705µm
memory_stage.dm.ram\[34\]\[26\],13.7µm
memory_stage.dm.ram\[8\]\[18\],13.7µm
memory_stage.dm.ram\[5\]\[20\],13.685µm
memory_stage.dm.ram\[9\]\[24\],13.68µm
_01741_,13.665µm
memory_stage.dm.ram\[39\]\[14\],13.665µm
_03627_,13.66µm
_04632_,13.66µm
_04649_,13.66µm
_06369_,13.66µm
memory_stage.dm.ram\[1\]\[24\],13.66µm
memory_stage.dm.ram\[46\]\[16\],13.66µm
memory_stage.dm.ram\[55\]\[9\],13.645µm
_00849_,13.64µm
_05754_,13.64µm
_05966_,13.64µm
memory_stage.dm.ram\[13\]\[26\],13.64µm
memory_stage.dm.ram\[2\]\[12\],13.64µm
memory_stage.dm.ram\[33\]\[19\],13.64µm
memory_stage.dm.ram\[4\]\[6\],13.64µm
memory_stage.dm.ram\[50\]\[21\],13.64µm
memory_stage.dm.ram\[18\]\[17\],13.635µm
memory_stage.dm.ram\[2\]\[20\],13.635µm
memory_stage.dm.ram\[7\]\[10\],13.625µm
_03803_,13.62µm
_05656_,13.62µm
memory_stage.dm.ram\[26\]\[30\],13.62µm
memory_stage.dm.ram\[26\]\[9\],13.62µm
memory_stage.dm.ram\[62\]\[27\],13.62µm
memory_stage.dm.ram\[43\]\[5\],13.615µm
_07109_,13.61µm
_07154_,13.61µm
memory_stage.dm.ram\[56\]\[17\],13.61µm
memory_stage.dm.ram\[17\]\[14\],13.605µm
memory_stage.dm.ram\[21\]\[3\],13.6µm
memory_stage.dm.ram\[34\]\[17\],13.6µm
_01184_,13.585µm
_01957_,13.585µm
_04130_,13.58µm
_04208_,13.58µm
_04357_,13.58µm
_05120_,13.58µm
_05880_,13.58µm
_05987_,13.58µm
_06273_,13.58µm
memory_stage.dm.ram\[18\]\[13\],13.58µm
memory_stage.dm.ram\[45\]\[3\],13.565µm
memory_stage.dm.ram\[54\]\[17\],13.565µm
_04421_,13.56µm
memory_stage.dm.ram\[25\]\[26\],13.56µm
memory_stage.dm.ram\[28\]\[17\],13.56µm
memory_stage.dm.ram\[2\]\[30\],13.56µm
memory_stage.dm.ram\[32\]\[16\],13.56µm
memory_stage.dm.ram\[44\]\[31\],13.56µm
memory_stage.dm.ram\[50\]\[11\],13.56µm
memory_stage.dm.ram\[54\]\[7\],13.56µm
memory_stage.dm.ram\[59\]\[4\],13.56µm
memory_stage.dm.ram\[5\]\[13\],13.56µm
memory_stage.dm.ram\[5\]\[5\],13.56µm
_02885_,13.54µm
_03317_,13.54µm
_04640_,13.54µm
_04870_,13.54µm
_05131_,13.54µm
_05855_,13.54µm
_06334_,13.54µm
_06511_,13.54µm
_06949_,13.54µm
memory_stage.dm.ram\[46\]\[8\],13.54µm
_04001_,13.52µm
_04520_,13.52µm
_06358_,13.52µm
_00816_,13.505µm
_01883_,13.505µm
memory_stage.dm.ram\[15\]\[31\],13.505µm
_03331_,13.5µm
_03635_,13.5µm
_03644_,13.5µm
_06763_,13.5µm
_06964_,13.5µm
_07060_,13.5µm
de.pc_d\[12\],13.5µm
memory_stage.dm.ram\[10\]\[20\],13.5µm
memory_stage.dm.ram\[30\]\[4\],13.5µm
memory_stage.dm.ram\[37\]\[25\],13.5µm
memory_stage.dm.ram\[49\]\[9\],13.5µm
memory_stage.dm.ram\[53\]\[6\],13.5µm
_02878_,13.48µm
_00839_,13.465µm
memory_stage.dm.ram\[54\]\[4\],13.465µm
_04177_,13.46µm
_04842_,13.46µm
memory_stage.dm.ram\[13\]\[10\],13.46µm
memory_stage.dm.ram\[4\]\[3\],13.46µm
memory_stage.dm.ram\[7\]\[8\],13.445µm
_06032_,13.44µm
memory_stage.dm.ram\[39\]\[0\],13.44µm
_00677_,13.425µm
_01802_,13.425µm
memory_stage.dm.ram\[10\]\[17\],13.425µm
_02921_,13.42µm
_03021_,13.42µm
_03033_,13.42µm
_03334_,13.42µm
_04314_,13.42µm
_04587_,13.42µm
_04924_,13.42µm
_07327_,13.42µm
memory_stage.dm.ram\[11\]\[27\],13.42µm
memory_stage.dm.ram\[53\]\[20\],13.42µm
net260,13.41µm
_02545_,13.405µm
_03140_,13.4µm
_06804_,13.4µm
memory_stage.dm.ram\[63\]\[27\],13.4µm
memory_stage.dm.ram\[2\]\[7\],13.395µm
memory_stage.dm.ram\[63\]\[30\],13.39µm
_00658_,13.385µm
_03708_,13.38µm
_04303_,13.38µm
_05099_,13.38µm
_07177_,13.38µm
_07351_,13.38µm
memory_stage.dm.ram\[2\]\[2\],13.38µm
memory_stage.dm.ram\[36\]\[13\],13.38µm
memory_stage.dm.ram\[52\]\[24\],13.38µm
_03649_,13.36µm
_05098_,13.36µm
memory_stage.dm.ram\[47\]\[26\],13.345µm
_03201_,13.34µm
memory_stage.dm.ram\[21\]\[23\],13.335µm
memory_stage.dm.ram\[5\]\[2\],13.335µm
_00129_,13.325µm
_04406_,13.32µm
memory_stage.dm.ram\[33\]\[7\],13.32µm
memory_stage.dm.ram\[45\]\[30\],13.32µm
memory_stage.dm.ram\[63\]\[6\],13.32µm
memory_stage.dm.ram\[26\]\[6\],13.315µm
memory_stage.dm.ram\[53\]\[7\],13.305µm
_06818_,13.3µm
em.tid_m\[0\],13.3µm
memory_stage.dm.ram\[20\]\[21\],13.3µm
memory_stage.dm.ram\[36\]\[10\],13.3µm
memory_stage.dm.ram\[36\]\[8\],13.3µm
memory_stage.dm.ram\[42\]\[4\],13.3µm
memory_stage.dm.ram\[7\]\[20\],13.3µm
_03911_,13.28µm
memory_stage.dm.ram\[0\]\[7\],13.28µm
memory_stage.dm.ram\[15\]\[2\],13.28µm
memory_stage.dm.ram\[32\]\[20\],13.28µm
memory_stage.dm.ram\[36\]\[30\],13.28µm
_00881_,13.265µm
_04453_,13.26µm
memory_stage.dm.ram\[11\]\[26\],13.26µm
memory_stage.dm.ram\[20\]\[8\],13.26µm
memory_stage.dm.ram\[22\]\[26\],13.26µm
memory_stage.dm.ram\[41\]\[12\],13.26µm
memory_stage.dm.ram\[42\]\[8\],13.26µm
memory_stage.dm.ram\[62\]\[28\],13.26µm
memory_stage.dm.ram\[6\]\[7\],13.26µm
clknet_leaf_19_clk_regs,13.26µm
memory_stage.dm.ram\[61\]\[12\],13.245µm
memory_stage.dm.ram\[27\]\[27\],13.24µm
memory_stage.dm.ram\[52\]\[20\],13.24µm
_07070_,13.22µm
de.imm_val_e\[13\],13.22µm
memory_stage.dm.ram\[36\]\[0\],13.22µm
_02916_,13.2µm
_02929_,13.2µm
_03614_,13.2µm
_07293_,13.2µm
memory_stage.dm.ram\[34\]\[31\],13.2µm
memory_stage.dm.ram\[47\]\[22\],13.2µm
_06520_,13.19µm
_05546_,13.18µm
_06217_,13.18µm
_06612_,13.18µm
memory_stage.dm.ram\[51\]\[16\],13.18µm
memory_stage.dm.ram\[9\]\[20\],13.175µm
_03157_,13.16µm
_04085_,13.16µm
_05141_,13.16µm
_05552_,13.16µm
_07284_,13.16µm
memory_stage.dm.ram\[56\]\[14\],13.16µm
_00791_,13.145µm
_03454_,13.14µm
memory_stage.dm.ram\[38\]\[16\],13.14µm
memory_stage.dm.ram\[63\]\[25\],13.14µm
_00402_,13.135µm
_00720_,13.12µm
_03723_,13.12µm
_03972_,13.12µm
_05770_,13.12µm
memory_stage.dm.ram\[25\]\[27\],13.12µm
memory_stage.dm.ram\[38\]\[7\],13.12µm
memory_stage.dm.ram\[44\]\[12\],13.12µm
memory_stage.dm.ram\[15\]\[17\],13.105µm
memory_stage.dm.ram\[29\]\[13\],13.105µm
_06332_,13.1µm
memory_stage.dm.ram\[39\]\[10\],13.1µm
memory_stage.dm.ram\[55\]\[3\],13.1µm
memory_stage.dm.ram\[56\]\[31\],13.1µm
_03624_,13.08µm
_04845_,13.08µm
_05655_,13.08µm
_05864_,13.08µm
_06596_,13.08µm
memory_stage.dm.ram\[27\]\[26\],13.06µm
_02728_,13.045µm
_03112_,13.04µm
_03444_,13.04µm
_03467_,13.04µm
_04241_,13.04µm
_04366_,13.04µm
_04442_,13.04µm
_05543_,13.04µm
_05791_,13.04µm
_06166_,13.04µm
_07212_,13.04µm
de.rd_e\[1\],13.04µm
memory_stage.dm.ram\[14\]\[17\],13.04µm
memory_stage.dm.ram\[40\]\[9\],13.04µm
memory_stage.dm.ram\[41\]\[24\],13.04µm
memory_stage.dm.ram\[53\]\[19\],13.04µm
memory_stage.dm.ram\[61\]\[7\],13.04µm
_01964_,13.005µm
_01252_,13µm
memory_stage.dm.ram\[26\]\[11\],13µm
memory_stage.dm.ram\[36\]\[5\],13µm
_02239_,12.985µm
memory_stage.dm.ram\[49\]\[30\],12.985µm
_01355_,12.98µm
memory_stage.dm.ram\[36\]\[14\],12.98µm
memory_stage.dm.ram\[43\]\[22\],12.98µm
memory_stage.dm.ram\[26\]\[28\],12.97µm
_01231_,12.965µm
_01917_,12.965µm
_02117_,12.965µm
_03621_,12.96µm
_04452_,12.96µm
_05700_,12.96µm
_06002_,12.96µm
memory_stage.dm.ram\[0\]\[30\],12.96µm
memory_stage.dm.ram\[42\]\[3\],12.96µm
memory_stage.dm.ram\[43\]\[26\],12.96µm
memory_stage.dm.ram\[48\]\[30\],12.96µm
memory_stage.dm.ram\[51\]\[15\],12.96µm
memory_stage.dm.ram\[51\]\[7\],12.96µm
memory_stage.dm.ram\[45\]\[29\],12.955µm
_00064_,12.945µm
_02243_,12.945µm
_04599_,12.94µm
_07000_,12.94µm
_07396_,12.94µm
memory_stage.dm.ram\[33\]\[11\],12.94µm
memory_stage.dm.ram\[8\]\[21\],12.94µm
_07091_,12.935µm
_02240_,12.925µm
_04844_,12.92µm
_05610_,12.92µm
_06432_,12.92µm
memory_stage.dm.ram\[27\]\[14\],12.92µm
memory_stage.dm.ram\[42\]\[30\],12.92µm
memory_stage.dm.ram\[60\]\[19\],12.92µm
_01879_,12.905µm
_01959_,12.905µm
clknet_1_0__leaf_clk,12.89µm
_01926_,12.885µm
_05542_,12.88µm
memory_stage.dm.ram\[42\]\[17\],12.88µm
_06840_,12.86µm
_06954_,12.86µm
_06991_,12.86µm
memory_stage.dm.ram\[47\]\[24\],12.86µm
memory_stage.dm.ram\[34\]\[21\],12.855µm
memory_stage.dm.ram\[29\]\[7\],12.845µm
_07324_,12.84µm
memory_stage.dm.ram\[26\]\[16\],12.84µm
memory_stage.dm.ram\[27\]\[6\],12.84µm
memory_stage.dm.ram\[39\]\[31\],12.84µm
memory_stage.dm.ram\[40\]\[27\],12.84µm
memory_stage.dm.ram\[16\]\[30\],12.83µm
_02778_,12.825µm
_04843_,12.825µm
_04189_,12.82µm
_05486_,12.82µm
memory_stage.dm.ram\[0\]\[1\],12.82µm
memory_stage.dm.ram\[23\]\[30\],12.82µm
memory_stage.dm.ram\[28\]\[19\],12.82µm
memory_stage.dm.ram\[38\]\[31\],12.82µm
_00992_,12.805µm
_02434_,12.805µm
memory_stage.dm.ram\[9\]\[7\],12.805µm
_03963_,12.8µm
memory_stage.dm.ram\[14\]\[18\],12.8µm
memory_stage.dm.ram\[25\]\[5\],12.8µm
memory_stage.dm.ram\[51\]\[13\],12.8µm
memory_stage.dm.ram\[57\]\[4\],12.8µm
memory_stage.dm.ram\[11\]\[5\],12.795µm
_06662_,12.78µm
memory_stage.dm.ram\[16\]\[4\],12.78µm
memory_stage.dm.ram\[1\]\[23\],12.78µm
memory_stage.dm.ram\[23\]\[11\],12.78µm
memory_stage.dm.ram\[42\]\[10\],12.78µm
memory_stage.dm.ram\[59\]\[7\],12.78µm
_05720_,12.76µm
_06269_,12.76µm
_06963_,12.76µm
memory_stage.dm.ram\[12\]\[26\],12.76µm
_01742_,12.745µm
_01846_,12.745µm
_02914_,12.74µm
_03097_,12.74µm
_03322_,12.74µm
_03325_,12.74µm
_03532_,12.74µm
_06879_,12.74µm
em.pc_plus4_m\[2\],12.74µm
memory_stage.dm.ram\[25\]\[31\],12.725µm
_06281_,12.72µm
_06644_,12.72µm
memory_stage.dm.ram\[28\]\[30\],12.72µm
memory_stage.dm.ram\[37\]\[28\],12.72µm
_04086_,12.7µm
_05962_,12.7µm
memory_stage.dm.ram\[28\]\[12\],12.7µm
memory_stage.dm.ram\[53\]\[22\],12.7µm
mw.read_data_w\[19\],12.7µm
_01167_,12.685µm
_06268_,12.68µm
_07280_,12.68µm
_01503_,12.665µm
_01949_,12.665µm
memory_stage.dm.ram\[55\]\[26\],12.665µm
_03307_,12.66µm
_03462_,12.66µm
_04323_,12.66µm
_04463_,12.66µm
_04860_,12.66µm
_05599_,12.66µm
_06881_,12.66µm
_07349_,12.66µm
memory_stage.dm.ram\[28\]\[16\],12.66µm
memory_stage.dm.ram\[29\]\[23\],12.66µm
memory_stage.dm.ram\[29\]\[25\],12.66µm
memory_stage.dm.ram\[3\]\[2\],12.66µm
_05936_,12.65µm
_04397_,12.64µm
memory_stage.dm.ram\[21\]\[7\],12.64µm
memory_stage.dm.ram\[27\]\[11\],12.64µm
_02694_,12.625µm
_03030_,12.62µm
_03265_,12.62µm
_03313_,12.62µm
_03596_,12.62µm
_03679_,12.62µm
_03775_,12.62µm
_03840_,12.62µm
_04067_,12.62µm
_04556_,12.62µm
_05450_,12.62µm
_05489_,12.62µm
_05644_,12.62µm
_05789_,12.62µm
_06363_,12.62µm
_06493_,12.62µm
_06708_,12.62µm
memory_stage.dm.ram\[34\]\[15\],12.62µm
memory_stage.dm.ram\[56\]\[30\],12.62µm
memory_stage.dm.ram\[58\]\[16\],12.62µm
_04554_,12.61µm
_00199_,12.605µm
_04307_,12.6µm
_06448_,12.6µm
memory_stage.dm.ram\[12\]\[12\],12.6µm
memory_stage.dm.ram\[37\]\[5\],12.595µm
_00654_,12.585µm
_01383_,12.58µm
_01403_,12.58µm
_03500_,12.58µm
_04150_,12.58µm
_04236_,12.58µm
_04656_,12.58µm
_05183_,12.58µm
_05388_,12.58µm
_05848_,12.58µm
memory_stage.dm.ram\[19\]\[31\],12.58µm
memory_stage.dm.ram\[47\]\[17\],12.58µm
memory_stage.dm.ram\[55\]\[27\],12.58µm
memory_stage.dm.ram\[5\]\[23\],12.58µm
memory_stage.dm.ram\[5\]\[30\],12.58µm
memory_stage.dm.ram\[21\]\[12\],12.575µm
memory_stage.dm.ram\[11\]\[15\],12.57µm
_07403_,12.56µm
memory_stage.dm.ram\[29\]\[9\],12.56µm
memory_stage.dm.ram\[49\]\[17\],12.56µm
memory_stage.dm.ram\[6\]\[4\],12.56µm
memory_stage.dm.ram\[9\]\[25\],12.56µm
net259,12.55µm
_00240_,12.545µm
_03281_,12.54µm
_04193_,12.54µm
_04260_,12.54µm
_04368_,12.54µm
_05379_,12.54µm
_06888_,12.54µm
_07286_,12.54µm
_07314_,12.54µm
memory_stage.dm.ram\[12\]\[27\],12.54µm
memory_stage.dm.ram\[24\]\[23\],12.54µm
_05105_,12.52µm
_03410_,12.5µm
_03533_,12.5µm
_03751_,12.5µm
_04269_,12.5µm
_05769_,12.5µm
_05838_,12.5µm
_06449_,12.5µm
_06752_,12.5µm
_07095_,12.5µm
memory_stage.dm.ram\[25\]\[28\],12.5µm
memory_stage.dm.ram\[29\]\[31\],12.5µm
memory_stage.dm.ram\[30\]\[26\],12.5µm
memory_stage.dm.ram\[39\]\[29\],12.5µm
memory_stage.dm.ram\[46\]\[30\],12.5µm
memory_stage.dm.ram\[53\]\[8\],12.495µm
_06901_,12.49µm
_06504_,12.485µm
_07257_,12.48µm
memory_stage.dm.ram\[33\]\[12\],12.48µm
memory_stage.dm.ram\[56\]\[20\],12.48µm
_06300_,12.46µm
memory_stage.dm.ram\[1\]\[19\],12.46µm
_00695_,12.445µm
memory_stage.dm.ram\[12\]\[28\],12.44µm
memory_stage.dm.ram\[25\]\[19\],12.44µm
memory_stage.dm.ram\[48\]\[5\],12.425µm
memory_stage.dm.ram\[53\]\[11\],12.42µm
_00489_,12.405µm
_03960_,12.4µm
_07019_,12.4µm
memory_stage.dm.ram\[4\]\[27\],12.4µm
memory_stage.dm.ram\[62\]\[14\],12.395µm
_05444_,12.38µm
_06629_,12.38µm
memory_stage.dm.ram\[0\]\[2\],12.38µm
memory_stage.dm.ram\[11\]\[12\],12.38µm
memory_stage.dm.ram\[12\]\[19\],12.38µm
memory_stage.dm.ram\[24\]\[3\],12.38µm
memory_stage.dm.ram\[55\]\[30\],12.38µm
memory_stage.dm.ram\[12\]\[8\],12.37µm
_00025_,12.365µm
_04480_,12.36µm
memory_stage.dm.ram\[40\]\[15\],12.36µm
memory_stage.dm.ram\[48\]\[1\],12.36µm
_06545_,12.35µm
_03040_,12.34µm
_05691_,12.34µm
memory_stage.dm.ram\[13\]\[28\],12.34µm
memory_stage.dm.ram\[28\]\[28\],12.34µm
memory_stage.dm.ram\[33\]\[15\],12.34µm
memory_stage.dm.ram\[59\]\[1\],12.34µm
memory_stage.dm.ram\[5\]\[6\],12.34µm
_00265_,12.325µm
_00623_,12.325µm
_01928_,12.325µm
_05911_,12.32µm
_06144_,12.32µm
_06699_,12.32µm
memory_stage.dm.ram\[28\]\[15\],12.32µm
memory_stage.dm.ram\[3\]\[20\],12.32µm
_01381_,12.3µm
_03464_,12.3µm
_06919_,12.3µm
_01384_,12.28µm
_03367_,12.28µm
_03469_,12.28µm
_04532_,12.28µm
_06311_,12.28µm
memory_stage.dm.ram\[21\]\[28\],12.28µm
memory_stage.dm.ram\[42\]\[2\],12.28µm
memory_stage.dm.ram\[50\]\[18\],12.28µm
memory_stage.dm.ram\[56\]\[22\],12.28µm
_00445_,12.275µm
_01680_,12.265µm
_06016_,12.26µm
memory_stage.dm.ram\[14\]\[22\],12.26µm
memory_stage.dm.ram\[37\]\[6\],12.26µm
memory_stage.dm.ram\[44\]\[20\],12.26µm
memory_stage.dm.ram\[53\]\[9\],12.26µm
memory_stage.dm.ram\[42\]\[0\],12.245µm
_06040_,12.24µm
fetch_stage.thread_pc.t_pc\[2\]\[21\],12.24µm
memory_stage.dm.ram\[21\]\[18\],12.24µm
_00204_,12.225µm
_01913_,12.225µm
_02716_,12.225µm
memory_stage.dm.ram\[14\]\[8\],12.225µm
memory_stage.dm.ram\[37\]\[13\],12.225µm
_06405_,12.22µm
memory_stage.dm.ram\[3\]\[0\],12.21µm
_01027_,12.205µm
_02246_,12.205µm
_02280_,12.205µm
_02501_,12.205µm
memory_stage.dm.ram\[14\]\[25\],12.205µm
memory_stage.dm.ram\[61\]\[19\],12.205µm
_01401_,12.2µm
_03671_,12.2µm
memory_stage.dm.ram\[15\]\[12\],12.2µm
memory_stage.dm.ram\[15\]\[18\],12.2µm
memory_stage.dm.ram\[37\]\[14\],12.2µm
_00030_,12.185µm
memory_stage.dm.ram\[30\]\[28\],12.185µm
_03184_,12.18µm
